Index,Product_Registration,File_Path,File_Name,DLP_File_Date_UTC,Time_Zone_Offset,Number_Recordings,File_Hours,ClientGroup_Name,ClientGroup_ID,Child_ChildKey,Child_ChildID,Child_DOB,Child_Age,Child_Gender,Child_EnrollDate,DLP,ITS_Version,AWC,Turn_Count,Child_Voc_Count,FAN_Word_Count,MAN_Word_Count,SIL,Recording_Index,Elapsed_Time,Clock_Time_TZAdj,Audio_Duration
19,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,15.00,0.00,2.00,0.00,14.76,6.99,1.00,5342.00,03/21/2021 14:30:00,300.00
20,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,49.00,0.00,0.00,42.09,6.84,133.32,1.00,5642.00,03/21/2021 14:35:00,300.00
21,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,124.00,3.00,6.00,118.97,5.08,132.07,1.00,5942.00,03/21/2021 14:40:00,300.00
22,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,165.00,5.00,23.00,58.83,105.73,22.45,1.00,6242.00,03/21/2021 14:45:00,300.00
23,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,137.00,5.00,12.00,39.25,98.39,12.72,1.00,6542.00,03/21/2021 14:50:00,300.00
24,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,77.00,1.00,14.00,61.42,15.42,27.13,1.00,6842.00,03/21/2021 14:55:00,300.00
25,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,68.00,2.00,28.00,33.21,34.16,13.99,1.00,7142.00,03/21/2021 15:00:00,300.00
26,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,117.00,3.00,15.00,87.58,29.51,39.87,1.00,7442.00,03/21/2021 15:05:00,300.00
27,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,155.00,4.00,12.00,136.10,19.39,34.21,1.00,7742.00,03/21/2021 15:10:00,300.00
28,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,80.00,1.00,1.00,68.28,11.99,13.55,1.00,8042.00,03/21/2021 15:15:00,300.00
29,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,146.00,2.00,3.00,116.78,28.28,86.81,1.00,8342.00,03/21/2021 15:20:00,300.00
30,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,124.00,0.00,0.00,51.55,73.43,64.49,1.00,8642.00,03/21/2021 15:25:00,300.00
