Index,Product_Registration,File_Path,File_Name,DLP_File_Date_UTC,Time_Zone_Offset,Number_Recordings,File_Hours,ClientGroup_Name,ClientGroup_ID,Child_ChildKey,Child_ChildID,Child_DOB,Child_Age,Child_Gender,Child_EnrollDate,DLP,ITS_Version,AWC,Turn_Count,Child_Voc_Count,FAN_Word_Count,MAN_Word_Count,SIL,Recording_Index,Elapsed_Time,Clock_Time_TZAdj,Audio_Duration
1,N/A,C:\Users\salov\Desktop,20210321_192524_029763.its,2021-03-20 11:39:45,-1,1,16.00,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29763,5.0.1,0.00,0.00,0.00,0.00,0.00,9.60,1.00,0.00,03/20/2021 12:39:45,15.00
2,N/A,C:\Users\salov\Desktop,20210321_192524_029763.its,2021-03-20 11:39:45,-1,1,16.00,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29763,5.0.1,34.00,0.00,0.00,33.66,0.00,150.08,1.00,15.00,03/20/2021 12:40:00,300.00
3,N/A,C:\Users\salov\Desktop,20210321_192524_029763.its,2021-03-20 11:39:45,-1,1,16.00,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29763,5.0.1,0.00,0.00,5.00,0.00,0.00,186.85,1.00,315.00,03/20/2021 12:45:00,300.00
4,N/A,C:\Users\salov\Desktop,20210321_192524_029763.its,2021-03-20 11:39:45,-1,1,16.00,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29763,5.0.1,0.00,0.00,0.00,0.00,0.00,13.13,1.00,615.00,03/20/2021 12:50:00,300.00
5,N/A,C:\Users\salov\Desktop,20210321_192524_029763.its,2021-03-20 11:39:45,-1,1,16.00,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29763,5.0.1,0.00,0.00,1.00,0.52,0.00,145.92,1.00,915.00,03/20/2021 12:55:00,300.00
6,N/A,C:\Users\salov\Desktop,20210321_192524_029763.its,2021-03-20 11:39:45,-1,1,16.00,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29763,5.0.1,15.00,1.00,1.00,13.68,1.24,152.18,1.00,1215.00,03/20/2021 13:00:00,300.00
7,N/A,C:\Users\salov\Desktop,20210321_192524_029763.its,2021-03-20 11:39:45,-1,1,16.00,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29763,5.0.1,42.00,4.00,24.00,35.76,6.61,100.45,1.00,1515.00,03/20/2021 13:05:00,300.00
8,N/A,C:\Users\salov\Desktop,20210321_192524_029763.its,2021-03-20 11:39:45,-1,1,16.00,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29763,5.0.1,45.00,0.00,6.00,44.15,0.00,103.53,1.00,1815.00,03/20/2021 13:10:00,300.00
9,N/A,C:\Users\salov\Desktop,20210321_192524_029763.its,2021-03-20 11:39:45,-1,1,16.00,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29763,5.0.1,7.00,0.00,9.00,7.58,0.00,99.52,1.00,2115.00,03/20/2021 13:15:00,300.00
10,N/A,C:\Users\salov\Desktop,20210321_192524_029763.its,2021-03-20 11:39:45,-1,1,16.00,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29763,5.0.1,49.00,0.00,13.00,43.42,5.42,80.93,1.00,2415.00,03/20/2021 13:20:00,300.00
